ID,CURR_AGE,GENDER,ANN_INCOME,DT_MAINT
51936G24LO,40,M,1212559,43018
85715Q98EI,50,M,1083578,43167
12537R36ZQ,60,M,631654,43294
58259V78YI,27,F,946906,42645
82910B45LK,35,M,1187704,43084
12599C33KL,47,F,855544,43499
17246Y35MX,46,M,1107374,43318
52192D74DX,59,F,1115543,43573
14545G47AH,41,F,980535,42915
49030G80QM,56,M,1508414,43492
47874J15VI,45,F,1238310,43451
95636M63ZG,57,M,722837,43274
19858E99ZO,56,M,752610,43612
34385R17JA,40,F,881131,43408
72789H36VA,51,F,789763,43556
74703N56WW,29,F,628766,43262
02486H90FG,60,F,1610133,43382
60549G58VU,55,F,436927,43239
67838E14YF,51,F,1373055,43615
67613L64RF,28,M,814022,43179
22148A43KQ,54,M,1393613,43646
70427F23RG,63,F,690260,43406
51139U64OJ,60,F,1916529,43206
89497A67RY,56,F,1407252,43216
18887G85BS,64,M,661561,42735
33194Z84NY,46,M,1504408,43197
17784N68UP,31,F,945035,43427
45856O04WJ,52,F,1102021,43073
79325W85WA,36,F,1448786,43275
86400K44TT,41,M,1990949,43554
35196W94AE,39,F,1528644,43357
13520W02HM,31,F,1030084,43097
38736C98KT,48,F,1115344,42628
91283H94GL,27,M,1305985,43383
55635P52JC,50,F,987184,43408
65415U14TP,47,M,1394544,43515
67253M51JC,39,F,913132,43434
06230N66IF,51,F,1477694,43278
59152H63SD,56,M,508117,42731
37928B16ZO,50,M,1981161,43307
29051R31OJ,25,F,1132674,43611
25315D41VP,54,F,1309918,42630
21109K43TW,29,M,1421444,43208
68504J42PG,45,F,816974,43267
87066T99TA,26,F,667631,43049
06720N53AC,51,M,1689384,42808
01073X91NN,26,M,1249082,43595
80447K01UU,30,F,1132036,43576
03757J84ZD,53,M,828331,43591
62639R34FM,34,F,932377,43268
59653X34YP,51,F,1841173,43300
04704D71YW,40,M,1326015,43374
68035P56KO,53,M,868889,42705
59824G53GX,44,F,1346697,43291
13766X00UO,58,M,1761407,42673
44365X98XP,46,F,1105033,43244
39941R12LB,41,M,1625262,43430
90988M10RN,32,M,674792,43216
62517N10NG,30,F,836428,43569
51258C81DL,37,F,841395,43570
45147M11GK,52,M,1248595,43456
07015D77SA,47,M,970137,42966
25925E97FN,36,F,858980,43481
64617H01AW,27,M,1093976,43150
79443T95YT,26,F,1096888,43561
31331Q78QW,26,M,725310,43255
05310H07GK,65,M,743507,43413
17566W72YI,37,F,1413736,42859
09473B21BQ,38,M,1537613,43275
19160F82CF,54,M,1350727,43429
69092Z71DQ,38,F,1466540,43029
33959Z55WP,64,F,370059,43289
00164J47FL,65,F,313558,43571
52830O66YE,37,M,1480270,43150
25269U36FH,45,M,1618561,43459
47711A55VY,31,F,963900,43369
35036V39TJ,27,F,685556,43546
88978A65VE,34,F,1064412,43233
25935I32VJ,28,F,926803,42969
42233G56SY,54,F,1553425,42664
11820M68VF,52,F,1149787,43397
65206O21CE,52,F,1755456,43031
78899D26JX,30,F,802343,43323
33160Y15NJ,30,M,1180355,43388
63519K68HF,27,F,589959,43562
65033S05QX,33,M,682970,43022
90958D94VX,25,F,549972,43199
54789N86UW,29,M,1014387,43304
66689E07NH,40,M,1216298,43585
17319D20QJ,54,F,1695443,43314
40664M31QB,28,M,1227569,43407
07695H42XY,51,M,1565327,42762
84444N13SU,51,M,1818909,43173
81582G51PX,46,F,1020520,43563
90299G83ZS,62,F,1714745,42829
92582Z01MJ,28,F,1105410,42716
13673U05UD,60,M,880447,43157
29316U81PY,31,M,1072913,43446
02789B07DZ,47,F,1278916,43491
90989O73AU,38,F,1410839,43201
78284F91AE,34,F,509359,42822
27639N63QN,46,M,1704357,42786
95451X11JN,36,F,1049506,43236
82323U70HD,51,F,708975,43622
62405E31RQ,44,F,954743,43468
71693B08KP,41,F,1062020,43472
57917M30NY,60,F,537459,43352
91404E86LT,38,M,1382323,43391
69223Z24BU,25,F,1189813,43409
67273U88ZK,61,M,1860017,43477
48407W54CG,36,M,1175979,42919
59852P12OB,54,M,806030,43147
15590Q91JC,47,M,1478903,42992
96883C14UD,60,M,1337539,43557
49062G43JN,50,F,1329074,42693
82516E32DF,28,F,1136533,43461
34031T57VU,49,F,928687,43400
17314G00VZ,49,F,1434682,43181
04328Z75NO,62,M,1526897,43159
16705A66ED,28,F,1194275,43637
39587M57XF,52,M,1803240,43190
07380R28DH,54,M,1405038,43034
49683L76GH,36,M,1381314,42735
86745L42QE,53,F,1684596,43546
62307J23UB,53,F,731378,43419
07950S38HG,43,M,1772256,42630
76766S38HR,39,M,1089446,43202
99790P90TX,51,M,1617581,42683
49812S91WH,58,M,325134,43353
57101D64PD,34,M,1404537,43266
93011H05SW,47,F,1586731,43238
61343B94UD,27,M,1268436,43155
08634H96YX,46,F,1262344,43112
00509S80AQ,45,M,1981891,43452
72048Z03MP,49,M,1245853,43282
93947N85VO,34,M,736579,43463
97400N81VC,42,M,1744982,43353
26468P24OE,47,F,1465034,43206
09616Z71CR,63,F,757937,43579
65103S67XP,41,M,1905447,43517
48835F80UG,37,F,1438774,43175
26192P33LD,46,F,1390908,42911
36767L91MC,50,F,1508886,43167
68840U28NG,41,M,1703353,42988
27190G73YN,56,M,398388,43268
66552X84FK,30,F,744736,43438
71272W60WQ,48,F,1553115,43102
07984C96RD,58,F,1812094,43180
24129E48OS,60,M,589484,43353
76840E82OL,25,F,840104,43260
41266U88TZ,49,M,1441761,43355
41165Z86WW,65,F,320356,43278
16365J10AF,43,M,1119759,43272
40856T63OT,53,M,1061513,43103
24834F24RV,44,M,1630624,43557
97416K72XY,52,F,1460228,43149
41455W36WW,45,F,1438957,42734
50166M96CS,44,F,1463559,43585
59208W03WL,64,F,785732,43307
84792E73FN,64,M,1094239,42721
76575M18DC,29,M,689338,43346
55366F76YB,57,M,1714938,43250
54689M06PQ,53,M,658325,43635
06530I57BM,54,M,1656288,42668
37829W37PC,41,M,945409,43160
81163T56HK,42,M,1763021,43400
05623M11YS,64,F,543518,43465
82252W94VP,41,F,1132060,42805
38997Z15AU,34,M,642858,42674
34991D65CV,29,M,798220,43057
73093T46EO,27,F,672400,43310
68485V94EO,42,F,1030356,43317
88680B34YG,50,F,1011823,43248
53273T77HP,60,M,1779520,43249
62960J99AF,34,F,924577,43400
69300T76PB,45,F,1165395,43574
85818U27KL,43,F,1457928,43417
85053O35CH,45,F,1501110,43252
91826Z22SC,28,F,631735,43545
50735G66NR,53,M,825257,43628
48943X97ZZ,54,M,500819,43112
53835Q76GT,64,M,1754059,43261
79629Q65CU,63,F,964084,43418
16444U82YR,32,M,1087726,43481
04470M26JC,65,M,482338,43564
51411C98SM,65,F,1488702,43345
10881T21TQ,49,M,1846077,43164
11025T63YR,53,F,1791674,43549
76164B69PG,54,M,859563,43210
31348W89DV,47,M,1647823,42838
71224Q45DZ,30,M,1389584,42782
71394A91ZP,37,M,1998220,43155
16682T42XE,60,M,1739479,43180
48038X88NO,58,F,1286260,43242
59125W11NG,45,F,1402200,43305
69188O11BG,57,F,355723,43598
50954G65BP,60,M,614789,43641
95989X92IW,25,M,1114581,43327
30988W25MQ,30,F,797228,43148
71394O38CV,49,M,1639778,43302
19038L40SS,29,F,691998,43080
70688I62SZ,64,M,873358,42653
78848X63TZ,36,M,1854106,42758
27186N22ZB,39,M,1212463,42948
04084X31QE,47,F,914260,42704
67320X74CF,40,M,1154376,43471
80975N56QO,43,F,1498801,43596
81304R75PA,27,M,1367020,43612
77327W84XU,30,F,963405,43422
96356S32VC,52,M,1702892,43222
36480M27VT,26,F,976861,43469
70597R74UV,27,M,978081,43524
47205Y15QF,48,M,1799960,43235
65558D41GI,28,M,1451313,43283
65731K99JB,50,F,896089,43629
93542L10MA,46,M,1456806,43304
10571C57UR,33,M,1091916,42852
52942G45XE,31,M,878337,43280
19037O42JY,29,M,1459567,43202
50273F99NK,53,F,1727359,43147
37432J82AO,32,F,1072118,43150
39141F40GP,64,F,1531077,43561
68462M54ZN,57,F,992576,43397
09992I89FG,41,F,1200680,42647
19146G33FQ,44,M,819272,42784
70860G72PT,47,M,1188493,43296
35530Y45SY,29,M,1409050,43192
01550C60OJ,54,M,1571261,43483
83606N27EE,49,M,1237602,43005
66546U40BN,40,M,1824179,42650
13553H22JG,65,M,1910491,43195
40749Z90HD,57,M,740565,43484
34780U32TR,30,F,505791,43588
21366H11AP,61,M,655384,43596
74625E67GN,27,F,795747,43111
99524X36XN,38,F,887669,43231
16594I35FU,65,F,1668844,43399
26897P87TC,37,M,1083658,43524
18935S76CB,34,M,981091,43306
33281F12UT,51,F,1935585,43342
16609N43AI,42,F,1360745,43184
01329H85AT,52,M,572422,43373
76878T49ZN,49,M,843020,43230
71506F06OD,43,F,1598861,43639
33017Y65BT,56,F,1466557,43154
03261C76II,58,M,1130996,42952
66267A75SP,46,M,1402090,43265
88013L45UT,29,M,1173743,42850
12656I12KP,62,M,1210564,43646
08093H34GV,37,M,1515702,42944
07604U50YM,27,M,737741,43624
73778U85BN,56,M,1863102,43093
44431N99LO,43,F,945873,42799
90278Y94QK,53,F,1485873,42694
55524L05PX,38,M,1216799,42754
71074Y92YS,54,F,1466536,43286
99431B24XG,26,F,1085557,43460
69880H60CT,36,M,1178109,43282
62375E75KG,30,M,657274,43215
02315O21MX,53,M,1335368,43222
13673A22MQ,30,M,780023,42785
75295R58ZY,57,F,646745,43206
55061M16KA,26,F,1162811,43118
25818G51BK,54,F,785666,42885
88348I74YE,29,F,724426,43480
59664T39ZJ,34,F,1028927,43600
44576P98MY,52,M,914653,43165
39690J86LC,51,F,1248116,43425
03315F13MN,48,M,1852708,43236
73932R66HI,48,M,1089343,43127
52737P11BI,56,M,341739,42628
61439M56ZM,44,F,1198333,43300
79776H00AF,33,F,1039638,42899
54031B70MB,27,F,1162207,43207
83182P66FC,42,F,1475966,42970
11172C59OL,28,M,1214413,43584
91911Q44GI,62,F,1753348,43606
91519I06HN,30,M,1389869,42989
70117N15GX,41,M,1140984,43365
58445X25CB,38,M,1365819,43487
75579E68WM,42,M,1228997,43186
41054G69WW,56,M,1167780,43604
23847J49EP,38,F,1143733,42903
05344O27DU,31,M,761727,43627
84319F71CX,32,F,806252,43184
71681J15XM,43,F,1441995,42853
26967J54VI,59,F,1210058,43154
75070V13IW,47,F,1047166,43575
21959M38IG,56,M,1580270,43010
35920U89YD,46,M,1647147,43281
19301Y17AC,41,F,1517491,43152
32474V11YA,40,M,1989182,43418
56638R84DT,51,F,1766227,43380
32557K96UN,27,F,720831,43414
03336V77GK,57,F,1198659,43173
85746W47IK,32,F,674253,43565
11073L12HU,59,F,1665648,43255
08199F78DS,41,M,1086312,43357
74170L79DE,27,M,867022,43466
31308F32YJ,50,F,1054831,43548
01269J33IF,57,F,963107,42685
10087R42FR,61,M,844397,43570
65034O39SF,61,F,1495798,43328
32040C60CA,33,F,1166611,43226
44036C62YR,51,M,728203,43612
74531X46BP,58,M,1986740,43217
75146P84UX,64,M,876089,43316
13087Y14YW,28,F,537358,43547
20235B78XP,65,F,966380,42771
76618M52QG,42,F,1439741,43410
72421T44YF,49,M,914760,43581
27702R22MX,32,M,697936,43331
47484P95BE,65,M,700180,43478
57951D34RB,46,M,1858986,43515
35102I81XY,62,M,1128480,43645
90691I18YC,32,M,789891,43428
96210J31MC,51,F,1636613,43348
23319G37IQ,61,F,648710,43433
10441B25AR,43,M,1764393,43359
13327X33FS,44,M,1537667,42783
59735U76CI,34,F,565078,43424
46062Z56JS,60,F,1436600,43179
10912B59JD,32,F,964269,43352
33243E66CW,49,M,1468020,43202
65368I27BY,58,M,1068646,43373
11141V40DT,55,F,1742826,43165
94997T69GH,33,F,667103,43223
69068U90XK,49,M,1328835,43284
08473U84OS,56,M,1614331,43332
60436P78UF,41,F,1477796,43295
53253W19WN,49,F,1580948,43509
23883Z78GH,35,F,873556,43266
94953N87IT,39,M,1300356,43202
60877L12IO,29,F,703796,43240
41560Q63OG,45,M,1943281,43646
19771V49KS,62,F,1428005,42784
03030K80IZ,63,M,465497,42882
71666J00HY,50,M,1526421,43636
81611B32CW,46,F,1008049,43525
39202I97HZ,27,M,1407972,43401
54848I76SI,29,F,645963,43622
55065X87VF,38,F,1424977,43620
10583K98QH,40,M,1716569,43643
16167K77KR,38,F,904319,43513
78430L87EZ,25,M,705687,43400
48510T95NI,43,M,1296427,43174
94170V14WB,42,F,1038508,43436
78877M66NG,25,F,711632,43188
91190T50SQ,64,M,806721,43560
76189Z74RK,36,F,1302844,43449
46400D28WY,61,M,717670,43501
08439J11RC,65,F,1241799,43561
77451K60YQ,60,M,430998,43250
80309B21YQ,48,F,871051,42719
39932K32PO,54,F,1177042,42657
05625A72IR,26,F,733258,43491
50974S38WU,44,M,1453015,43344
25382Y01UE,32,M,1416002,43170
94368X90BQ,27,F,790676,43203
21994M72ZH,48,M,1508565,43491
